iteration	time	average_speed	average_speed_lane_0	average_speed_lane_1	average_speed_lane_2	vehicle_count
245	0.2093406	2.5208333	2.6666667	2.5555556	2.3333333	48
246	0.2100435	2.8125	3.0588236	2.8125	2.5333333	48
247	0.2108217	2.9791667	3.0555556	3.125	2.7142856	48
248	0.21161859	2.875	2.7777777	3.0666666	2.8	48
249	0.21242231	3	2.6111112	3.7142856	2.8125	48
250	0.2134256	3.1041667	2.8461537	3.35	3	48
251	0.2143304	2.7708333	2.7692308	2.6842105	2.875	48
252	0.215602	2.8125	3.0666666	2.7894738	2.5714285	48
253	0.2164817	2.5833333	3.5	1.9523809	2.7333333	48
254	0.217166	2.7708333	3	2.2631578	3.25	48
255	0.21782671	3.0416667	2.6190476	3.2142856	3.5384614	48
256	0.218524	2.9791667	2.3809524	3.3125	3.6363637	48
257	0.2191728	2.6875	2.2272727	2.9285715	3.25	48
258	0.2199328	2.625	2.1052632	2.7368422	3.4	48
259	0.2206673	2.7916667	2.6190476	2.235294	4.1	48
260	0.2214793	3.0208333	2.8947368	2.45	4.5555553	48
261	0.2221552	2.9791667	2.9130435	2	4.3636365	48
262	0.2228941	2.9583333	2.4210527	2.3333333	4.909091	48
263	0.2237806	3.1041667	2.1052632	3.1333334	4.428571	48
264	0.22445129	3.2916667	1.9047619	4.076923	4.642857	48
265	0.22515489	3.0416667	1.85	4.5384617	3.3333333	48
266	0.2258811	3.1458333	2.2777777	4.1764708	3	48
267	0.2266007	3.0833333	2.0555556	3.8235295	3.5384614	48
268	0.22732979	2.9791667	2.1111112	3.6111112	3.3333333	48
269	0.2281875	2.8541667	2.1578948	3.368421	3.2	48
270	0.2289892	2.8541667	2.4210527	3.2777777	2.909091	48
271	0.2297259	3.1875	3.4117646	2.8235295	3.357143	48
272	0.2305889	2.9166667	3.235294	2.3333333	3.3076923	48
273	0.23170099	2.8541667	3.2	2.2857144	3.4166667	48
274	0.2327497	2.8958333	3	2.25	3.909091	48
275	0.2336629	2.8125	2.5	2.368421	3.8461537	48
276	0.2343436	3.0416667	2.7058823	2.7222223	3.9230769	48
277	0.2351293	3.1666667	2.5882354	3.4210527	3.5833333	48
278	0.23595129	3.0833333	2.7777777	3.125	3.4285715	48
279	0.2365791	3.2708333	3.5714285	2.6	3.9285715	48
280	0.2372637	3.0416667	2.9375	2.7058823	3.5333333	48
281	0.23803009	3.0416667	2.6111112	3.5	3.0714285	48
282	0.2386829	3.0416667	3.1875	2.7777777	3.2142856	48
283	0.23940898	2.8333333	2.9333334	2.4375	3.1176472	48
284	0.2400124	2.9375	3.142857	3.4117646	2.2941177	48
285	0.2406553	2.9583333	3.0666666	3.1875	2.6470587	48
286	0.2413599	2.9375	3.2142856	3.0588236	2.5882354	48
287	0.2421888	2.6666667	3	2.4444444	2.625	48
288	0.2431081	2.6666667	2.8888888	2.4166667	2.6111112	48
289	0.2439487	2.6875	2.7058823	3	2.4736843	48
290	0.2447384	2.7916667	2.7058823	3.5384614	2.3333333	48
291	0.24541369	2.8125	2.875	3.5714285	2.1666667	48
292	0.2461479	2.9583333	2.8333333	3.368421	2.5882354	48
293	0.24691981	3.1666667	3.1818182	3.4761906	2.75	48
294	0.2479328	3.2083333	3.5384614	3.1666667	3	48
295	0.2489964	3.0833333	3.4285715	2.8125	3.0555556	48
296	0.2498669	3.0625	3.1538463	3.2	2.8	48
297	0.2507103	3.0625	3.1875	2.7894738	3.3076923	48
298	0.2514862	3.0416667	2.9375	2.4736843	4	48
299	0.25218529	3.0208333	2.8947368	2.625	3.6923077	48
300	0.2528263	2.7708333	2.4736843	2.3333333	3.642857	48
301	0.2536032	2.875	2.2	2.7894738	3.7142856	48
302	0.25441352	2.9583333	2.2142856	2.6111112	4	48
303	0.2550792	2.8125	2.4117646	2.6	3.4375	48
304	0.2557904	3	2.2941177	3.0588236	3.7857144	48
305	0.2565623	3.0416667	2.5555556	3.2	3.4666667	48
306	0.2572609	2.9791667	2.5625	3.2777777	3.0714285	48
307	0.25806782	3.125	2.6875	3.0555556	3.7142856	48
308	0.2588223	3.1666667	2.75	3	3.7058823	48
309	0.2596717	3.1458333	2.8333333	3	3.6666667	48
310	0.26041672	3	2.5294118	2.875	3.6666667	48
311	0.2611489	2.875	2.8888888	2.625	3.142857	48
312	0.2618549	2.5833333	2.631579	2.1875	3	48
313	0.262671	2.5416667	2.6111112	1.882353	3.3076923	48
314	0.26346418	2.5833333	2.75	1.8421053	3.4615386	48
315	0.2643532	2.5208333	3	1.6111112	3.1538463	48
316	0.2654234	2.7708333	2.6666667	2.5333333	3.25	48
317	0.2664104	2.6666667	2.1904762	2.7857144	3.3076923	48
318	0.2671665	3.0416667	2.5454545	3.2857144	3.6666667	48
319	0.2678925	3.0625	2.35	2.8125	4.5833335	48
320	0.2685269	2.875	1.7	3.4705882	4.090909	48
321	0.2692646	2.6666667	2	2.8235295	3.5	48
322	0.2700301	2.3333333	1.7894737	1.75	3.8461537	48
323	0.2707753	2.1875	1.6470588	1.8333334	3.3846154	48
324	0.2715558	2.375	1.5555556	2.2777777	3.75	48
325	0.27232578	2.7916667	1.6875	3.1363637	3.8	48
326	0.2731017	2.6041667	2	2.5454545	3.5454545	48
327	0.2739938	2.75	2.5882354	2.4210527	3.5	48
328	0.2749216	2.5208333	1.9375	2.6	3.1666667	48
329	0.2758257	2.5	2	2.5789473	3.0833333	48
330	0.2766998	2.4791667	2	2.6	3	48
331	0.2774756	2.4791667	2.8947368	1.6470588	3	48
332	0.27832282	2.5208333	2.5789473	2.0588236	3.0833333	48
333	0.2790896	2.375	1.9130435	2.4166667	3.1538463	48
334	0.27979147	2.6875	1.9523809	3.2142856	3.3076923	48
335	0.280736	3.0208333	2.2380953	3.4375	3.909091	48
