iteration,time,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,vehicle_count,lane_change_probability,deceleration_probability,max_speed_lane_1,max_speed_lane_2,max_speed_lane_3,flow
192,0.0229977,1.5932204,1.3478261,1.7647059,1.7368422,59,0.5,0.4,9,9,9,0.93999994
193,0.0223069,1.6666666,1.6666666,1.125,2.3888888,60,0.5,0.4,9,9,9,1
194,0.0229924,1.7333333,1.2777778,1.7307693,2.25,60,0.5,0.4,9,9,9,1.0400001
195,0.0231204,2.05,1.9545455,2.0526316,2.1578948,60,0.5,0.4,9,9,9,1.23
196,0.0248329,1.85,1.5263158,2.3636363,1.5789474,60,0.5,0.4,9,9,9,1.11
197,0.0228509,2.0983605,2.1818182,1.8636364,2.2941177,61,0.5,0.4,9,9,9,1.28
198,0.0248291,1.704918,1.3913044,1.6666666,2.1764705,61,0.5,0.4,9,9,9,1.04
199,0.0232533,1.7868853,1.3461539,1.8095238,2.5714285,61,0.5,0.4,9,9,9,1.09
200,0.0249956,1.7096775,1.32,1.6956521,2.4285715,62,0.5,0.4,9,9,9,1.0600001
201,0.0243082,2.048387,2.0833333,1.4090909,2.875,62,0.5,0.4,9,9,9,1.27
202,0.0354255,1.6612903,1.6153846,1.2857143,1.9545455,62,0.5,0.4,9,9,9,1.03
203,0.0359038,1.7258065,1.5238096,1.3076923,2.7333333,62,0.5,0.4,9,9,9,1.07
204,0.0253101,1.7619047,1.5,1.55,2.4117646,63,0.5,0.4,9,9,9,1.11
205,0.0249109,2.063492,2,2,2.235294,63,0.5,0.4,9,9,9,1.3
206,0.0250504,1.6349206,1.8,1.5357143,1.65,63,0.5,0.4,9,9,9,1.03
207,0.0251217,1.875,1.7307693,2.047619,1.882353,64,0.5,0.4,9,9,9,1.1999999
208,0.0246548,1.921875,1.7391304,1.7727273,2.3157895,64,0.5,0.4,9,9,9,1.23
209,0.0256243,2.125,2.0869565,2.4583333,1.7058823,64,0.5,0.4,9,9,9,1.36
210,0.0259872,1.7230769,1.5238096,1.64,2.0526316,65,0.5,0.4,9,9,9,1.12
211,0.0273767,1.9692308,2.2608695,1.5714285,2.047619,65,0.5,0.4,9,9,9,1.28
212,0.0247183,1.8153846,1.72,1.7391304,2.0588236,65,0.5,0.4,9,9,9,1.18
213,0.0256701,1.6,1.6086956,2,1.2608696,65,0.5,0.4,9,9,9,1.04
214,0.0265046,1.7424242,1.9130435,1.6666666,1.6363636,66,0.5,0.4,9,9,9,1.1500001
215,0.02762,1.8181819,1.5217391,1.8333334,2.1578948,66,0.5,0.4,9,9,9,1.2
216,0.0261435,1.6969697,1.5652174,1.5652174,2,66,0.5,0.4,9,9,9,1.1200001
217,0.0276065,1.8059702,1.7391304,1.44,2.368421,67,0.5,0.4,9,9,9,1.21
218,0.0280817,1.6865672,1.56,1.2105263,2.2173913,67,0.5,0.4,9,9,9,1.13
219,0.0281509,1.9701493,1.64,1.7916666,2.6666667,67,0.5,0.4,9,9,9,1.32
220,0.0277997,1.7058823,1.5,1.6538461,2,68,0.5,0.4,9,9,9,1.16
221,0.0275258,1.7352941,1.28,1.7777778,2.375,68,0.5,0.4,9,9,9,1.18
222,0.0276239,1.882353,1.6956521,2.2608695,1.6818181,68,0.5,0.4,9,9,9,1.28
223,0.0283359,1.7941177,1.68,1.52,2.3333333,68,0.5,0.4,9,9,9,1.22
224,0.0305955,1.5072464,1.56,1.037037,2.1764705,69,0.5,0.4,9,9,9,1.04
225,0.0275843,1.6521739,1.1111112,1.68,2.4705882,69,0.5,0.4,9,9,9,1.14
